iter	Passed	Remaining
582	118105	84476
583	118411	84347
584	118587	84126
585	118880	83987
586	119062	83769
587	119356	83630
588	119724	83542
589	119889	83313
590	120083	83103
591	120322	82924
592	120459	82676
593	120586	82421
594	120738	82183
595	120821	81899
596	121066	81725
597	121296	81540
598	121551	81372
599	121861	81241
600	122112	81069
601	122349	80888
602	122495	80647
603	122762	80486
604	122999	80305
605	123264	80141
606	123595	80021
607	123915	79893
608	124093	79672
609	124273	79453
610	124431	79220
611	124591	78989
612	124865	78830
613	125024	78598
614	125343	78467
615	125466	78212
616	125560	77941
617	125975	77868
618	126278	77725
619	126444	77498
620	126720	77338
621	126975	77165
622	127046	76880
623	127220	76658
624	127439	76463
625	127705	76296
626	127955	76120
627	128254	75972
628	128480	75780
629	128584	75517
630	128692	75257
63630	129165	75534
631	129373	75331
632	129433	75042
633	129447	7472635	129315	74010
636	129456	73771
637	129569	73517
638	129717	73283
639	129863	73048
640	129962	72786
641	129985	72484
642	130416	72408
643	130566	72176
644	130775	71977
645	131026	71800
646	131354	71666
647	131563	71466
648	131854	71311
649	132023	71089
650	132130	70834
651	132373	70653
652	132710	70521
653	132899	70310
65653	133376	705665654	133777	70462
655	134001	70269
656	134224	70074
657	134346	69827
658	134584	696466659	134711	693966660	135033	692566661	135293	690766662	135515	68882
663	135727	68681
664	135970	68496
665	136156	68282
666	136319	68057
667	136505	678466668	136710	676467669	136925	674467670	137141	67242
671	137235	669867672	137551	6683674	137724	66311
675	138027	66155
676	138207	65939
677	138562	65806
678	138897	65664
679	139113	65465
680	139345	65273
681	139601	65092
682	139815	64892
683	140084	64717
684	140371	64550
685	140580	64347
686	140707	64106
687	141054	63966
688	141260	63762
689	141330	63496
690	141480	63266
691	141797	63112
692	142058	62932
693	142344	62763
694	142524	62546
695	142655	62309
696	142683	62027
697	142722	61750
698	142924	61545
699	143133	61342
700	143362	61148
701	143582	60950
702	143664	60694
703	143881	60495
704	144223	60348
705	144455	60155
706	144666	59953
707	144743	59696
708	144867	59459
709	145080	59258
710	145269	59047
711	145369	58801
712	145456	58549
713	145668	58348
714	145968	58183
715	146159	57973
716	146302	57745
717	146473	57528
718	146761	57357
719	146992	57163
720	147316	57006
721	147623	56841
722	147860	56649
723	148181	56489
724	148355	56272
725	148569	56071
726	148872	55904
727	149233	55757
728	149505	55577
729	149653	55351
730	149916	55167
731	150116	54960
732	150399	54783
733	150533	54552
734	150712	54338
735	150934	54139
736	151113	53925
737	151383	53743
738	151684	53571
739	151753	53318
740	151770	53047
741	151826	52791
742	152036	52588
743	152356	52423
744	152611	52236
745	152792	52023
746	152899	51785
747	153115	51584
748	153294	51371
749	153519	51173
750	153639	50940
751	153823	50729
752	153922	50489
753	154028	50253
754	154156	50024
755	154241	49781
756	154322	49537
757	154419	49300
758	154496	49056
759	154646	48835
760	154960	48666
761	155170	48465
762	155451	48285
763	155669	48086
764	155937	47902
765	156162	47705
766	156315	47485
767	156356	47232
768	156374	46973
769	156392	46714
77769	156884	46861
770	157075	46653
771	157192	46424
772	157435	46232
773	157580	46011
774	158004	45872
775	158227	45673
776	158509	45492
777	158721	45290
778	158949	45093
779	159074	44867
780	159400	44697
781	159664	44510
782	159959	44331
783	160045	44094
784	160060	43838
785	160152	43603
786	160430	43420
787	160534	43189
788	160823	43008
789	161131	428379790	161431	426579791	161607	4244793	161724	41958
794	161965	41764
795	162167	41560
796	162186	41309
797	162430	41116
798	162741	40939
799	162964	40741
80799	163274	4081801	163421	40345
802	163626	40142
803	163707	39908
804	164064	39742
80804	164244	3978806	164306	39295
80806	164641	39375
807	164771	39153
808	164792	3890810	164845	38416
811	165091	38223
812	165302	38021
813	165628	37846
814	165783	37631
815	165799	37386
816	165849	37148
817	165951	36923
818	166215	36733
819	166378	36522
82819	166669	3658821	166737	36106
822	167067	35930
823	167526	35782
824	167547	35540
825	167570	35299
826	167777	35097
827	167974	34893
828	168207	34696
82828	168580	347783829	168814	345783830	169115	34392
831	169355	34196
832	169594	34000
833	169870	33811
834	170129	33618
835	170313	33410
836	170554	33214
837	170796	33017
838	171111	32835
839	171369	32641
840	171515	32426
841	171794	32236
842	172199	32070
843	172421	31869
844	172598	31660
845	172853	31465
846	173024	31254
847	173291	31061
848	173554	30867
849	173783	30667
850	174029	30470
851	174195	30259
852	174298	30037
853	174498	29832
854	174643	29617
855	174659	29381
856	174680	29147
857	174737	28919
858	174813	286986859	175015	284986860	175197	2828862	175363	27838
863	175701	27656
864	175894	27451
865	176112	27250
866	176472	27071
867	176645	26863
868	176904	26667
869	177107	26464
870	177491	26287
871	177839	26104
872	178200	25923
873	178497	25733
874	178845	25549
875	179022	25341
876	179043	25110
877	179062	24881
878	179119	24656
879	179206	24437
880	179257	24213
881	179469	24010
882	179566	23793
883	179870	23602
884	180095	23402
885	180278	23196
886	180472	22991
887	180647	22784
888	180862	22582
889	181031	22374
890	181185	22165
891	181386	21961
892	181579	21757
893	181735	21548
894	181945	21345
895	182199	21148
896	182466	20952
897	182694	20751
898	182898	20548
899	183112	20345
900	183388	20150
901	183551	19942
902	183808	19744
903	184023	19542
904	184204	19336
905	184357	19127
906	184623	18930
907	184804	18724
908	185081	18528
909	185343	18330
910	185522	18124
911	185730	17921
912	185927	17717
913	186124	17512
914	186328	17309
915	186512	17103
916	186667	16895
917	186795	16685
918	186965	16478
919	186984	16259
920	187156	16053
921	187313	15846
922	187582	15648
923	187775	15444
924	187936	15238
925	188047	15027
926	188213	14821
927	188311	14610
928	188396	14398
929	188535	14190
930	188640	13980
931	188716	13769
932	188800	13557
933	188898	13348
934	189084	13144
935	189251	12940
936	189422	12735
937	189652	12535
938	189949	12339
939	190168	12138
940	190291	11931
941	190511	11730
942	190651	11523
943	190745	11315
944	190799	11104
945	190905	10897
946	191084	10694
947	191183	10486
948	191288	10279
949	191430	10075
950	191569	9870
951	191642	9662
952	191736	9456
953	191857	9250
954	191945	9044
955	191997	8836
956	192155	8633
957	192332	8432
958	192402	8225
959	192534	8022
960	192634	7817
961	192727	7612
962	192835	7409
963	192962	7206
964	193030	7001
965	193046	6794
966	193105	6589
967	193141	6384
968	193178	6180
969	193209	5975
970	193236	5771
971	193256	5567
972	193280	5363
973	193294	5159
974	193309	4956
975	193320	4753
976	193365	4552
977	193382	4350
978	193397	4148
979	193419	3947
980	193432	3746
981	193446	3545
982	193464	3345
983	193476	3145
984	193496	2946
985	193507	2747
986	193521	2548
987	193534	2350
988	193550	2152
989	193570	1955
990	193585	1758
991	193599	1561
992	193612	1364
993	193626	1168
994	193641	973
995	193649	777
996	193658	582
997	193666	388
998	193674	193
999	193682	0
0	193
999	193697	0
